rank,kpi_name,label,consensus_weight,direction,p_value,effect_size,cv,tier,xgb,rf,perm,mi
88,NEUTRAL_PASSES_FROM_LANE_CENTER,NEUTRAL_PASSES_FROM_LANE_CENTER,0.002700277949914733,lower,0.17284015996697222,0.1933717907436523,0.2901802816424086,Tier 1 (Reliable),0.0061724097,0.0014583165747477666,0.0,0.0014711100518534082
89,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,0.0026955465636173716,higher,0.24813925334175324,0.19191471832552728,0.4655826663639399,Tier 1 (Reliable),0.0014343067,0.002919362479603734,0.0,0.016199092113945435
90,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_WING,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_WING,0.002685787449207249,higher,0.02720619989097583,0.31686617343093026,0.2757419312317758,Tier 1 (Reliable),0.0010024826,0.0023860569670075705,0.0,0.00730404167345533
91,PXT_FOULED,Fouled,0.0026757880245497894,higher,0.2278025465859208,0.10822474706085228,1.0437963027819004,Tier 3 (Noise),0.0025367818,0.001701759251473331,0.0,0.023249128620051573
92,UNSUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,UNSUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,0.0026703894828727964,lower,0.2046821415508574,0.18939348134933004,0.23260086231196914,Tier 1 (Reliable),0.0010954047,0.0020126953266110005,0.0,0.020157329332451956
93,BYPASSED_OPPONENTS_AT_PHASE_ATTACKING_TRANSITION,BYPASSED_OPPONENTS_AT_PHASE_ATTACKING_TRANSITION,0.002668232151435606,higher,0.031723827960346326,0.35424831304643456,0.29879941145787886,Tier 1 (Reliable),0.0011582221,0.0032672918333356555,0.0,0.0
94,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_FBR,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_FBR,0.0026447853705865816,higher,0.9550372384497612,0.15579326081749323,0.1998159099020542,Tier 1 (Reliable),0.0036142783,0.0011242701510925212,0.0,0.015487880208966631
95,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_CB,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_CB,0.0026271802740000278,higher,0.17167812482528022,0.32030869217767977,0.23712579156750055,Tier 1 (Reliable),0.0020249798,0.0008680632669487548,0.0,0.006444174810710246
96,BYPASSED_OPPONENTS_WO_VERIFICATION,Bypassed Opponents Without Verification,0.002604288637777704,higher,0.08510634373318508,0.28804648861103593,0.2813886676464482,Tier 1 (Reliable),0.0015322476,0.0019853463594434306,0.0,0.007690568883921722
97,SUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,SUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,0.0026013145003974812,higher,0.007423488994268197,0.33476263533425116,0.38997836001575803,Tier 1 (Reliable),0.0021233093,0.0011170616221899323,0.0,0.0033980265746906824
