rank,feature,feature_name,consensus_weight,direction,p_value,p_fdr,significant,effect_size,boruta_fraction,boruta_confirmed,stability_pct,xgb_importance
67,mean_OFFENSIVE_TOUCHES_IN_PITCH_POSITION_FIRST_THIRD,OFFENSIVE_TOUCHES_IN_PITCH_POSITION_FIRST_THIRD,0.003366598364392104,higher,0.0028979766137883166,0.07592156851208674,False,0.2935245401071902,0.0,False,24.0,0.0012433856
68,mean_SUCCESSFUL_PASSES_FROM_PITCH_POSITION_OWN_BOX,SUCCESSFUL_PASSES_FROM_PITCH_POSITION_OWN_BOX,0.0033629046694095884,higher,0.03924105671884187,0.22653966910903053,False,0.2952263230832191,0.0,False,20.0,0.0021076915
69,mean_BYPASSED_OPPONENTS_BY_ACTION_DIAGONAL_PASS,BYPASSED_OPPONENTS_BY_ACTION_DIAGONAL_PASS,0.0033534144157119842,higher,0.016067437953020604,0.15526232557590108,False,0.30689502099566734,0.0,False,18.0,0.0021047902
70,mean_BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CM,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CM,0.0033363694178384796,higher,0.22485303893853237,0.5631584711358896,False,0.20275922783916686,0.0,False,26.0,0.003926915
71,mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_GOAL_KICK,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_GOAL_KICK,0.003326175420559544,lower,0.8789948470810478,0.9554769723621533,False,-0.09006989246117,0.02,False,44.0,0.0033639434
72,mean_NEUTRAL_PASSES_FROM_LANE_CENTER,NEUTRAL_PASSES_FROM_LANE_CENTER,0.0033176831587297434,lower,0.07458614973207771,0.2996417493584339,False,-0.19858605108992858,0.0,False,24.0,0.0044544097
73,mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_HALF_SPACE,0.0033057810567966436,higher,0.3870575480308247,0.7096055047231786,False,0.15842379467383327,0.0,False,12.0,0.008696143
74,mean_BYPASSED_DEFENDERS_TO_LANE_RIGHT_HALF_SPACE,BYPASSED_DEFENDERS_TO_LANE_RIGHT_HALF_SPACE,0.0033024525878033303,higher,0.03254271929586981,0.20317211236070074,False,0.3461836538610449,0.0,False,12.0,0.0018219849
75,mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,0.0033015229052055914,higher,0.014905797708902066,0.15526232557590108,False,0.3157239220688076,0.0,False,18.0,0.0015107918
76,mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_AT_PHASE_IN_POSSESSION,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_AT_PHASE_IN_POSSESSION,0.003249347467774994,higher,0.01700337565172535,0.15636736412570762,False,0.25165229720035875,0.06,False,24.0,0.0010522937
