playerId,name,age,status,origin_team,origin_comp,origin_median,predicted_proba,predicted_plays,actual_plays
126428,Justin Heekeren,25.0,PLAYS,Patro Eisden Maasmechelen,challenger_pro_league,0.34851325,0.9436826,1,1
4611,Rihards Matrevics,26.0,PLAYS,FK Auda,virsliga,0.17575453,0.20029417,0,1
43239,Jari De Busser,26.0,PLAYS,Lommel SK,challenger_pro_league,0.34851325,0.9537065,1,1
103903,Marcel Łubik,21.0,PLAYS,FC Augsburg II,regionalliga_bayern,0.28719256,0.84985185,1,1
7160,Gerónimo Rulli,33.0,PLAYS,Ajax Amsterdam II,keuken_kampioen_divisie,0.433012,0.816719,1,1
39895,Ortwin De Wolf,28.0,PLAYS,SV Zulte Waregem,challenger_pro_league,0.34851325,0.35540366,0,1
102767,Nacho Miras,28.0,PLAYS,KMSK Deinze,challenger_pro_league,0.34851325,0.11119329,0,1
53675,Vic Chambaere,23.0,PLAYS,Jong Genk,challenger_pro_league,0.34851325,0.6685372,1,1
5937,Brent Gabriël,27.0,PLAYS,KSC Lokeren-Temse,challenger_pro_league,0.34851325,0.23551036,0,1
57792,Nediljko Labrovic,26.0,PLAYS,HNK Rijeka,hnl_1,0.507882825,0.276127,0,1
104207,Tom Ritzy Hülsmann,21.0,PLAYS,FC Bayern München II,regionalliga_bayern,0.28719256,0.9724258,1,1
104004,Dennis Seimen,20.0,PLAYS,VfB Stuttgart II,regionalliga_suedwest,0.405667995,0.8120886,1,1
81122,Nahuel Noll,22.0,PLAYS,TSG 1899 Hoffenheim II,regionalliga_suedwest,0.405667995,0.9163334,1,1
5878,Anthony Racioppi,27.0,PLAYS,1. FC Köln II,regionalliga_west,0.37057419,0.2699362,0,1
137872,Veljko Ilic,22.0,PLAYS,FK TSC Backa Topola,super_liga_srbije,0.34917809,0.49824208,0,1
29405,Lazar Carević,26.0,PLAYS,FK Vojvodina Novi Sad,super_liga_srbije,0.34917809,0.101907216,0,1
114308,Markus Ponath,25.0,PLAYS,FV Illertissen,regionalliga_bayern,0.28719256,0.6785342,1,1
117339,Maximilian Weisbäcker,24.0,PLAYS,TSV Aubstadt,regionalliga_bayern,0.28719256,0.64337295,1,1
106681,Max Schmitt,20.0,PLAYS,FC Bayern München II,regionalliga_bayern,0.28719256,0.93783313,1,1
27748,Kosei Tani,25.0,PLAYS,FCV Dender EH,challenger_pro_league,0.34851325,0.37793666,0,1
31713,Fabian de Keijzer,25.0,PLAYS,FC Utrecht II,keuken_kampioen_divisie,0.433012,0.23847651,0,1
2281,Hidde Jurjus,32.0,PLAYS,De Graafschap Doetinchem,keuken_kampioen_divisie,0.433012,0.081019394,0,1
3863,Luca Plogmann,26.0,PLAYS,FC Dordrecht,keuken_kampioen_divisie,0.433012,0.768805,1,1
105636,Tom de Graaff,21.0,PLAYS,FC Utrecht II,keuken_kampioen_divisie,0.433012,0.052348096,0,1
119075,Viktor Baier,21.0,PLAYS,FC Viktoria Pilsen,chance_liga,0.345279435,0.5463499,1,1
133147,Gasper Tratnik,26.0,PLAYS,ND Primorje,prva_liga,0.383098135,0.04983713,0,1
21338,Michael Verrips,29.0,PLAYS,FC Groningen,keuken_kampioen_divisie,0.433012,0.31331268,0,1
20496,Filip Manojlovic,29.0,PLAYS,FK Spartak Subotica,super_liga_srbije,0.34917809,0.16564003,0,1
1255,Timo Horn,32.0,PLAYS,Red Bull Salzburg,bundesliga_austria,0.6016963049999999,0.010038138,0,1
27683,Zion Suzuki,23.0,PLAYS,Urawa Red Diamonds,j1_league,0.614975735,0.8442205,1,1
50129,Franco Israel,25.0,PLAYS,Sporting Lissabon,primeira_liga,0.622191505,0.0098249605,0,1
3249,Kjetil Haug,27.0,PLAYS,Vålerenga Fotball,eliteserien,0.5777367099999999,0.61479294,1,1
180229,Jonathan Fischer,24.0,PLAYS,Fredrikstad FK,eliteserien,0.5777367099999999,0.033705372,0,1
