rank,kpi_name,label,consensus_weight,category,direction,p_value,effect_size,xgb_importance,rf_importance,perm_importance,mutual_info,definition,parent_kpi,context
76,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,0.002850959199082182,Contextual (BALL_LOSS_REMOVED_TEAMMATES),lower,0.005688342283255609,0.3288638297271352,0.0015348583,0.002858932281172471,0.0,0.00556377022447907,,BALL_LOSS_REMOVED_TEAMMATES,Goal Kick
77,PXT_BLOCK,Blocks,0.002838343940387721,Base KPI,lower,0.010132064636282757,0.03976150177355407,0.0035709622,0.00816253001761823,0.0,0.00870810937824884,"The change in a team’s goal threat due to blocked passes, shots and set-pieces. The change is calculated from the difference between the goal threat after the block and the goal threat before the block.",,
78,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_LOW_PASS,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_LOW_PASS,0.0028311200464730406,Contextual (BYPASSED_OPPONENTS_NUMBER),higher,0.028895121241641487,0.36951539728239885,0.0,0.0016600282842285162,0.0,0.011182757301648083,,BYPASSED_OPPONENTS_NUMBER,Low Pass
79,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,0.002814689069668442,Contextual (BYPASSED_OPPONENTS_NUMBER),higher,0.04732742567650823,0.21362762231671836,0.0016028848,0.0018342983266223015,0.0,0.01896155253984344,,BYPASSED_OPPONENTS_NUMBER,Right Half-Space
80,PXT_PASS_PRO,Progressive passes,0.002799111193933806,Base KPI,higher,0.019213748799875623,0.3302098395265047,0.0037209275,0.0014438500168738428,0.0,0.0,Sub-KPI of PXT_PASS. The positive change in a team’s goal threat through passing. Every pass that increases a team’s goal threat counts here. This also includes passes that end with the opponent if a team’s goal threat is higher after the pass than before the pass.,,
81,CONCEDED_POSTSHOT_XG,Post-Shot xG,0.002776481519086175,Base KPI,lower,0.06064794656113664,0.17965840168028688,0.0063071293,0.0026411077785275807,0.0,0.0,"Post-shot xG is a value of all shots on target (all shots on goal that go in or are saved by the goalkeeper). In addition to the shot-based xG variables (shot distance, shot angle, pressure on the shooter, opponents between ball and goal, phase of play, and type of shot), the ""likely finishing posit",,
82,SHOT_CREATING_ACTIONS,Shot-Creating Actions,0.0027714718526991727,Base KPI,lower,0.04151789774181536,0.22774451433492945,0.0,0.001371960789970873,0.0,0.02471987155947475,"Shot-Creating Actions are the two offensive actions directly leading to a shot attempt. This includes passes, and fouls drawn that set up a teammate’s shot. Specifically, an Shot-Creating Actions consists of the last two events before a shot, regardless of whether they occur in open play or from set",,
83,NEUTRAL_PASSES_FROM_PITCH_POSITION_OWN_BOX,NEUTRAL_PASSES_FROM_PITCH_POSITION_OWN_BOX,0.0027618438130828627,Contextual (NEUTRAL_PASSES),lower,0.09510691133229798,0.18015057333650183,0.0051936093,0.00214075818067645,0.0,0.005740870473015303,,NEUTRAL_PASSES,Own Box
84,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_MIDDLE_THIRD,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_MIDDLE_THIRD,0.002758511374121718,Contextual (BALL_LOSS_REMOVED_TEAMMATES_DE),higher,0.11387583156024421,0.2589757731757515,0.0013493642,0.0018807669287881775,0.0,0.014413627896659786,,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS,Second Third
85,SECOND_BALL_START,Second Ball Starts,0.0027241512793870675,Base KPI,lower,0.2775500790168234,0.1006540469349048,0.009292211,0.0008964788873743086,0.0,0.0,"The action that results in a 'second ball' phase where a high amount of pressure on the ball carrying player is applied and where no team has real control over the ball. It is typically the result of a high pass into an aerial duel, a blocked pass/shot or a saved pass or shot.",,
86,OFFENSIVE_TOUCHES,Offensive Touches,0.0027148978030341105,Base KPI,higher,0.008037640830910568,0.33950317214970865,0.0018177718,0.003143569574123235,0.0,0.0,Any touch on the ball where a teammate has previously been on the ball is called an offensive touch.,,
87,BYPASSED_OPPONENTS_RECEIVING,Bypassed Opponents Receiving,0.0027103493180647975,Base KPI,lower,0.02926124467658141,0.1264153175419686,0.0021465675,0.0013828818308608223,0.0,0.02468903021641511,"The sum of all opponents who are bypassed from a pass, from the perspective of the receiver.",,
88,NEUTRAL_PASSES_FROM_LANE_CENTER,NEUTRAL_PASSES_FROM_LANE_CENTER,0.002700277949914733,Contextual (NEUTRAL_PASSES),lower,0.17284015996697222,0.1933717907436523,0.0061724097,0.0014583165747477666,0.0,0.0014711100518534082,,NEUTRAL_PASSES,Centre
89,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,0.0026955465636173716,Contextual (BALL_LOSS_REMOVED_TEAMMATES_DE),higher,0.24813925334175324,0.19191471832552728,0.0014343067,0.002919362479603734,0.0,0.016199092113945435,,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS,Centre
90,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_WING,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_WING,0.002685787449207249,Contextual (BYPASSED_OPPONENTS_NUMBER),higher,0.02720619989097583,0.31686617343093026,0.0010024826,0.0023860569670075705,0.0,0.00730404167345533,,BYPASSED_OPPONENTS_NUMBER,Right Wing
91,PXT_FOULED,Fouled,0.0026757880245497894,Base KPI,higher,0.2278025465859208,0.10822474706085228,0.0025367818,0.001701759251473331,0.0,0.023249128620051573,The change in a team's goal threat which is achieved by being fouled.,,
92,UNSUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,UNSUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,0.0026703894828727964,Contextual (UNSUCCESSFUL_PASSES),lower,0.2046821415508574,0.18939348134933004,0.0010954047,0.0020126953266110005,0.0,0.020157329332451956,,UNSUCCESSFUL_PASSES,Right Half-Space
93,BYPASSED_OPPONENTS_AT_PHASE_ATTACKING_TRANSITION,BYPASSED_OPPONENTS_AT_PHASE_ATTACKING_TRANSITION,0.002668232151435606,Contextual (BYPASSED_OPPONENTS),higher,0.031723827960346326,0.35424831304643456,0.0011582221,0.0032672918333356555,0.0,0.0,,BYPASSED_OPPONENTS,Attacking Transition Phase
94,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_FBR,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_FBR,0.0026447853705865816,Contextual (BYPASSED_OPPONENTS_NUMBER),higher,0.9550372384497612,0.15579326081749323,0.0036142783,0.0011242701510925212,0.0,0.015487880208966631,,BYPASSED_OPPONENTS_NUMBER,Full-Back Right Zone
95,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_CB,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_CB,0.0026271802740000278,Contextual (BYPASSED_OPPONENTS_NUMBER),higher,0.17167812482528022,0.32030869217767977,0.0020249798,0.0008680632669487548,0.0,0.006444174810710246,,BYPASSED_OPPONENTS_NUMBER,Centre-Back Zone
96,BYPASSED_OPPONENTS_WO_VERIFICATION,Bypassed Opponents Without Verification,0.002604288637777704,Base KPI,higher,0.08510634373318508,0.28804648861103593,0.0015322476,0.0019853463594434306,0.0,0.007690568883921722,"Bypassed opponents without the pass being ‘verified' by the pass receiver. If a player is passed to in a high pressure situation, the bypassed opponents from this pass are not fully counted until the point that the ball is completely under control. As the value here does not include verification by ",,
97,SUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,SUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,0.0026013145003974812,Contextual (SUCCESSFUL_PASSES),higher,0.007423488994268197,0.33476263533425116,0.0021233093,0.0011170616221899323,0.0,0.0033980265746906824,,SUCCESSFUL_PASSES,Low Pass
98,BYPASSED_DEFENDERS_BY_ACTION_DIAGONAL_PASS,BYPASSED_DEFENDERS_BY_ACTION_DIAGONAL_PASS,0.0025964231661765188,Contextual (BYPASSED_DEFENDERS),lower,0.01893341062713472,0.2077611240851109,0.0005631551,0.0028135395341820015,0.0,0.016693321746028777,,BYPASSED_DEFENDERS,Diagonal Pass
99,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_WL,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_WL,0.002587828606187031,Contextual (BALL_LOSS_REMOVED_TEAMMATES),lower,0.5625493116888375,0.1102079228598902,0.0006097158,0.0006213699581019634,0.0,0.03258458968876887,,BALL_LOSS_REMOVED_TEAMMATES,Wide Left Zone
100,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,0.0025821405964733314,Contextual (BALL_LOSS_REMOVED_TEAMMATES_DE),higher,0.07124332823129434,0.18311330353063163,0.00056267274,0.003208335117479103,0.0,0.017600730849488988,,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS,Own Box
